"subID","group","session","category","wordcode","language","stimulus","meaning","value","response","grade"
"EB10","EB","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"SC01","SC","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"SC10","SC","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"SC21","SC","gorilla",1,"am1nu1","albanian","madh","big","good","small",0
"EB12","EB","gorilla",1,"am1nu1","albanian","madh","big","good","big",1
"EB21","EB","gorilla",1,"am1nu1","albanian","madh","big","good","big",1
"EB15","EB","gorilla",1,"am1nu1","albanian","madh","big","good","big",1
"EB01","EB","matlab",1,"am1nu1","albanian","madh","big","good","big",1
"SC12","SC","gorilla",1,"am1nu1","albanian","madh","big","good","small",0
"EB07","EB","matlab",1,"am1nu1","albanian","madh","big","good","big",1
"EB22","EB","gorilla",1,"am1nu1","albanian","madh","big","good","small",0
"SC15","SC","gorilla",1,"am1nu1","albanian","madh","big","good","big",1
"SC07","SC","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"EB11","EB","matlab",1,"am1nu1","albanian","madh","big","good","big",1
"EB19","EB","gorilla",1,"am1nu1","albanian","madh","big","good","big",1
"SC11","SC","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"SC22","SC","gorilla",1,"am1nu1","albanian","madh","big","good","small",0
"SC03","SC","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"EB04","EB","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"EB20","EB","gorilla",1,"am1nu1","albanian","madh","big","good","big",1
"SC19","SC","gorilla",1,"am1nu1","albanian","madh","big","good","big",1
"EB03","EB","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"EB02","EB","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"SC16","SC","gorilla",1,"am1nu1","albanian","madh","big","good","big",1
"SC14","SC","gorilla",1,"am1nu1","albanian","madh","big","good","small",0
"EB09","EB","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"EB23","EB","gorilla",1,"am1nu1","albanian","madh","big","good","small",0
"EB05","EB","matlab",1,"am1nu1","albanian","madh","big","good","big",1
"EB13","EB","gorilla",1,"am1nu1","albanian","madh","big","good","small",0
"SC08","SC","matlab",1,"am1nu1","albanian","madh","big","good","big",1
"EB16","EB","gorilla",1,"am1nu1","albanian","madh","big","good","big",1
"SC04","SC","matlab",1,"am1nu1","albanian","madh","big","good","small",0
"EB06","EB","matlab",1,"am1nu1","albanian","madh","big","good","big",1
